Iteration,wt,bias,mse_loss
377,2.532646,7.29323,22.224453
378,2.5286713,7.3079443,22.20123
379,2.524699,7.3226504,22.178026
380,2.5207288,7.3373485,22.154856
381,2.516761,7.3520384,22.13171
382,2.5127954,7.3667197,22.108591
383,2.508832,7.381393,22.085493
384,2.5048707,7.396058,22.062422
385,2.5009117,7.410715,22.039381
386,2.496955,7.4253635,22.016363
387,2.4930003,7.440004,21.993368
388,2.489048,7.454636,21.970407
389,2.485098,7.46926,21.947462
390,2.48115,7.483876,21.924551
391,2.4772043,7.498484,21.901659
392,2.4732609,7.5130835,21.878798
393,2.4693196,7.5276747,21.85596
394,2.4653804,7.542258,21.833149
395,2.4614437,7.556833,21.810364
396,2.457509,7.5713997,21.787601
397,2.4535766,7.5859585,21.764866
398,2.4496462,7.600509,21.742157
399,2.445718,7.6150517,21.71947
400,2.4417922,7.629586,21.696812
401,2.4378686,7.6441126,21.674175
402,2.433947,7.6586304,21.651566
403,2.4300277,7.67314,21.628983
404,2.4261105,7.6876416,21.606428
405,2.4221957,7.702135,21.583895
406,2.418283,7.7166204,21.561388
407,2.4143724,7.7310977,21.5389
408,2.410464,7.745567,21.516445
409,2.406558,7.760028,21.494019
410,2.4026542,7.774481,21.471605
411,2.3987525,7.788926,21.449228
412,2.3948529,7.8033633,21.426868
413,2.3909554,7.8177924,21.404541
414,2.3870602,7.8322134,21.382227
415,2.383167,7.8466263,21.35995
416,2.379276,7.861031,21.33769
417,2.3753872,7.8754277,21.315458
418,2.3715007,7.8898163,21.293245
419,2.3676164,7.9041967,21.271067
420,2.3637342,7.918569,21.24891
421,2.3598542,7.9329333,21.226776
422,2.3559763,7.94729,21.204668
423,2.3521006,7.9616385,21.182587
424,2.3482273,7.975979,21.160526
425,2.3443558,7.990311,21.138489
426,2.3404868,8.004636,21.116482
427,2.3366199,8.018952,21.094496
428,2.332755,8.03326,21.072536
429,2.3288922,8.047561,21.050598
430,2.3250318,8.061852,21.02869
431,2.3211734,8.076137,21.006802
432,2.3173172,8.090413,20.984941
433,2.3134632,8.104681,20.963104
434,2.3096113,8.118941,20.94129
435,2.3057616,8.133194,20.919504
436,2.301914,8.147438,20.89774
437,2.2980685,8.1616745,20.875998
438,2.2942252,8.175903,20.854282
439,2.290384,8.190124,20.83259
440,2.286545,8.204336,20.810923
441,2.2827082,8.218541,20.78928
442,2.2788734,8.232738,20.767664
443,2.2750409,8.246926,20.746067
444,2.2712104,8.261107,20.724497
445,2.2673821,8.27528,20.702951
446,2.2635562,8.289445,20.681429
447,2.2597322,8.303602,20.659927
448,2.2559104,8.317751,20.638454
449,2.2520907,8.331892,20.617004
450,2.2482731,8.346025,20.595581
451,2.2444577,8.36015,20.574179
452,2.2406445,8.374268,20.5528
453,2.2368333,8.388377,20.531445
454,2.2330244,8.402479,20.510115
455,2.2292175,8.416573,20.488811
456,2.2254128,8.430658,20.467527
457,2.2216103,8.4447365,20.446268
458,2.2178097,8.458806,20.425032
459,2.2140114,8.472868,20.403822
460,2.2102153,8.486922,20.382635
461,2.2064211,8.500969,20.36147
462,2.2026293,8.515007,20.340334
463,2.1988394,8.529037,20.319214
464,2.1950517,8.54306,20.298122
465,2.191266,8.5570755,20.277052
466,2.1874826,8.571082,20.256012
467,2.1837013,8.585081,20.23499
468,2.179922,8.599072,20.21399
469,2.1761448,8.613056,20.193014
470,2.17237,8.627032,20.172062
471,2.168597,8.641,20.151136
472,2.1648262,8.65496,20.130232
473,2.1610575,8.668912,20.10935
474,2.157291,8.682857,20.088491
475,2.1535265,8.696794,20.067657
476,2.1497643,8.710722,20.046846
477,2.146004,8.724643,20.02606
478,2.1422458,8.738556,20.005297
479,2.1384897,8.752461,19.984554
480,2.1347358,8.766359,19.963835
481,2.130984,8.78025,19.94314
482,2.1272342,8.794132,19.922466
483,2.1234865,8.808006,19.901815
484,2.119741,8.821873,19.881191
485,2.1159976,8.8357315,19.860596
486,2.1122563,8.849583,19.840014
487,2.108517,8.863426,19.819456
488,2.1047797,8.877262,19.798923
489,2.1010447,8.89109,19.778412
490,2.0973117,8.90491,19.757923
491,2.0935807,8.918722,19.73746
492,2.089852,8.932527,19.717022
493,2.0861254,8.946323,19.6966
494,2.0824008,8.960113,19.676203
495,2.0786784,8.973894,19.655828
496,2.0749578,8.987668,19.63548
