name,Date,Open,High,Low,Close,Volume
aapl,10/16/25,248.25,249.04,245.13,247.45,39776969
aapl,10/15/25,249.49,251.82,247.47,249.34,33893609
aapl,10/14/25,246.6,248.85,244.7,247.77,35477992
aapl,10/13/25,249.38,249.69,245.56,247.66,38142941
aapl,10/10/25,254.94,256.38,244,245.27,61999102
aapl,10/9/25,257.81,258,253.14,254.04,38322008
aapl,10/8/25,256.52,258.52,256.11,258.06,36496898
aapl,10/7/25,256.81,257.4,255.43,256.48,31955779
aapl,10/6/25,257.99,259.07,255.05,256.69,44664121
aapl,10/3/25,254.67,259.24,253.95,258.02,49155609
aapl,10/2/25,256.58,258.18,254.15,257.13,42630238
aapl,10/1/25,255.04,258.79,254.93,255.45,48713941
aapl,9/30/25,254.86,255.92,253.11,254.63,37704262
aapl,9/29/25,254.56,255,253.01,254.43,40127688
aapl,9/26/25,254.1,257.6,253.78,255.46,46076262
aapl,9/25/25,253.21,257.17,251.71,256.87,55202078
aapl,9/24/25,255.22,255.74,251.04,252.31,42303711
aapl,9/23/25,255.88,257.34,253.58,254.43,60275191
aapl,9/22/25,248.3,256.64,248.12,256.08,105517398
aapl,9/19/25,241.23,246.3,240.21,245.5,163741297
aapl,9/18/25,239.97,241.2,236.65,237.88,44249578
aapl,9/17/25,238.97,240.1,237.73,238.99,46508020
aapl,9/16/25,237.18,241.22,236.32,238.15,63421102
aapl,9/15/25,237,238.19,235.03,236.7,42699520
aapl,9/12/25,229.22,234.51,229.02,234.07,55824219
aapl,9/11/25,226.88,230.45,226.65,230.03,50208578
aapl,9/10/25,232.19,232.42,225.95,226.79,83440805
aapl,9/9/25,237,238.78,233.36,234.35,66313922
aapl,9/8/25,239.3,240.15,236.34,237.88,48999500
aapl,9/5/25,240,241.32,238.49,239.69,54870398
aapl,9/4/25,238.45,239.9,236.74,239.78,47549434
aapl,9/3/25,237.21,238.85,234.36,238.47,66427844
aapl,9/2/25,229.25,230.85,226.97,229.72,44075641
aapl,8/29/25,232.51,233.38,231.37,232.14,39418441
aapl,8/28/25,230.82,233.41,229.34,232.56,38074699
aapl,8/27/25,228.61,230.9,228.26,230.49,31259510
aapl,8/26/25,226.87,229.49,224.69,229.31,54575113
aapl,8/25/25,226.48,229.3,226.23,227.16,30983131
aapl,8/22/25,226.17,229.09,225.41,227.76,42477809
aapl,8/21/25,226.27,226.52,223.78,224.9,30621250
aapl,8/20/25,229.98,230.47,225.77,226.01,42263871
aapl,8/19/25,231.28,232.87,229.35,230.56,39402559
aapl,8/18/25,231.7,233.12,230.11,230.89,37476191
aapl,8/15/25,234,234.28,229.34,231.59,56038660
aapl,8/14/25,234.06,235.12,230.85,232.78,51916281
aapl,8/13/25,231.07,235,230.43,233.33,69878555
aapl,8/12/25,228.01,230.8,227.07,229.65,55672301
aapl,8/11/25,227.92,229.56,224.76,227.18,61806129
aapl,8/8/25,220.83,231,219.25,229.35,113854000
aapl,8/7/25,218.88,220.85,216.58,220.03,90224828
aapl,8/6/25,205.63,215.38,205.59,213.25,108483102
aapl,8/5/25,203.4,205.34,202.16,202.92,44155078
aapl,8/4/25,204.51,207.88,201.68,203.35,75109297
aapl,8/1/25,210.87,213.58,201.5,202.38,104434492
aapl,7/31/25,208.49,209.84,207.16,207.57,80698430
aapl,7/30/25,211.9,212.39,207.72,209.05,45512512
aapl,7/29/25,214.18,214.81,210.82,211.27,51411719
aapl,7/28/25,214.03,214.85,213.06,214.05,37858020
aapl,7/25/25,214.7,215.24,213.4,213.88,40268781
aapl,7/24/25,213.9,215.69,213.53,213.76,46022621
aapl,7/23/25,215,215.15,212.41,214.15,46989301
aapl,7/22/25,213.14,214.95,212.23,214.4,46404070
aapl,7/21/25,212.1,215.78,211.63,212.48,51377434
aapl,7/18/25,210.87,211.79,209.7,211.18,48974594
aapl,7/17/25,210.57,211.8,209.59,210.02,48068141
aapl,7/16/25,210.3,212.4,208.64,210.16,47490527
aapl,7/15/25,209.22,211.89,208.92,209.11,42296340
aapl,7/14/25,209.93,210.91,207.54,208.62,38840113
aapl,7/11/25,210.57,212.13,209.86,211.16,39765809
aapl,7/10/25,210.51,213.48,210.03,212.41,44443641
aapl,7/9/25,209.53,211.33,207.22,211.14,48749367
aapl,7/8/25,210.1,211.43,208.45,210.01,42848930
aapl,7/7/25,212.68,216.23,208.8,209.95,50228980
aapl,7/3/25,212.15,214.65,211.81,213.55,34955840
aapl,7/2/25,208.91,213.34,208.14,212.44,67941805
aapl,7/1/25,206.67,210.19,206.14,207.82,78788875
aapl,6/30/25,202.01,207.39,199.26,205.17,91912812
aapl,6/27/25,201.89,203.22,200,201.08,73188570
aapl,6/26/25,201.43,202.64,199.46,201,50799121
aapl,6/25/25,201.45,203.67,200.62,201.56,39525727
aapl,6/24/25,202.59,203.44,200.2,200.3,54064031
aapl,6/23/25,201.63,202.3,198.96,201.5,55814273
aapl,6/20/25,198.24,201.7,196.86,201,96813539
aapl,6/18/25,195.94,197.57,195.07,196.58,45394688
aapl,6/17/25,197.2,198.39,195.21,195.64,38856152
aapl,6/16/25,197.3,198.69,196.56,198.42,43020688
aapl,6/13/25,199.73,200.37,195.7,196.45,51447352
aapl,6/12/25,199.08,199.68,197.36,199.2,43904641
aapl,6/11/25,203.5,204.5,198.41,198.78,60989859
aapl,6/10/25,200.6,204.35,200.57,202.67,54672609
aapl,6/9/25,204.39,206,200.02,201.45,72862562
aapl,6/6/25,203,205.7,202.05,203.92,46607688
aapl,6/5/25,203.5,204.75,200.15,200.63,55221238
aapl,6/4/25,202.91,206.24,202.1,202.82,43603992
aapl,6/3/25,201.35,203.77,200.96,203.27,46381566
aapl,6/2/25,200.28,202.13,200.12,201.7,35423289
aapl,5/30/25,199.37,201.96,196.78,200.85,70819938
aapl,5/29/25,203.58,203.81,198.51,199.95,51477941
aapl,5/28/25,200.59,202.73,199.9,200.42,45339680
aapl,5/27/25,198.3,200.74,197.43,200.21,56288480
aapl,5/23/25,193.67,197.7,193.46,195.27,78432922
aapl,5/22/25,200.71,202.75,199.7,201.36,46742406
aapl,5/21/25,205.17,207.04,200.71,202.09,59211770
aapl,5/20/25,207.67,208.47,205.03,206.86,42496641
aapl,5/19/25,207.91,209.48,204.26,208.78,46140527
aapl,5/16/25,212.36,212.57,209.77,211.26,54737848
aapl,5/15/25,210.95,212.96,209.54,211.45,45029473
aapl,5/14/25,212.43,213.94,210.58,212.33,49325832
aapl,5/13/25,210.43,213.4,209,212.93,51909328
aapl,5/12/25,210.97,211.27,206.75,210.79,63775809
aapl,5/9/25,199,200.54,197.54,198.53,36453922
aapl,5/8/25,197.72,200.05,194.68,197.49,50478871
aapl,5/7/25,199.17,199.44,193.25,196.25,68616945
aapl,5/6/25,198.21,200.65,197.02,198.51,51216480
aapl,5/5/25,203.1,204.1,198.21,198.89,69018445
aapl,5/2/25,206.09,206.99,202.16,205.35,101010602
aapl,5/1/25,209.08,214.56,208.9,213.32,57365680
aapl,4/30/25,209.3,213.58,206.67,212.5,52286449
aapl,4/29/25,208.69,212.24,208.37,211.21,36827633
aapl,4/28/25,210,211.5,207.46,210.14,38743070
aapl,4/25/25,206.37,209.75,206.2,209.28,38222262
aapl,4/24/25,204.89,208.83,202.94,208.37,47310992
aapl,4/23/25,206,208,202.8,204.6,52929168
aapl,4/22/25,196.12,201.59,195.97,199.74,52976367
aapl,4/21/25,193.27,193.8,189.81,193.16,46742539
aapl,4/18/25,196.98,196.98,196.98,196.98,0
aapl,4/17/25,197.2,198.83,194.42,196.98,52164680
aapl,4/16/25,198.36,200.7,192.37,194.27,59732422
aapl,4/15/25,201.86,203.51,199.8,202.14,51343871
aapl,4/14/25,211.44,212.94,201.16,202.52,101352898
aapl,4/11/25,186.1,199.54,186.06,198.15,87435922
aapl,4/10/25,189.07,194.78,183,190.42,121880000
aapl,4/9/25,171.95,200.61,171.89,198.85,184395906
aapl,4/8/25,186.7,190.34,169.21,172.42,120859508
aapl,4/7/25,177.2,194.15,174.62,181.46,160466297
aapl,4/4/25,193.89,199.88,187.34,188.38,125910898
aapl,4/3/25,205.54,207.49,201.25,203.19,103419000
aapl,4/2/25,221.32,225.19,221.02,223.89,35905898
aapl,4/1/25,219.81,223.68,218.9,223.19,36412738
aapl,3/31/25,217.01,225.62,216.23,222.13,65299320
aapl,3/28/25,221.67,223.81,217.68,217.9,39818621
aapl,3/27/25,221.39,224.99,220.56,223.85,37094770
aapl,3/26/25,223.51,225.02,220.47,221.53,34532660
aapl,3/25/25,220.77,224.1,220.08,223.75,34493578
aapl,3/24/25,221,221.48,218.58,220.73,44299480
aapl,3/21/25,211.56,218.84,211.28,218.27,94127766
aapl,3/20/25,213.99,217.49,212.22,214.1,48862953
aapl,3/19/25,214.22,218.76,213.75,215.24,54385391
aapl,3/18/25,214.16,215.15,211.49,212.69,42432434
aapl,3/17/25,213.31,215.22,209.97,214,48073434
aapl,3/14/25,211.25,213.95,209.58,213.49,60107578
aapl,3/13/25,215.95,216.84,208.42,209.68,61368328
aapl,3/12/25,220.14,221.75,214.91,216.98,62547473
aapl,3/11/25,223.81,225.84,217.45,220.84,76137406
aapl,3/10/25,235.54,236.16,224.22,227.48,72071203
aapl,3/7/25,235.11,241.37,234.76,239.07,46273566
aapl,3/6/25,234.44,237.86,233.16,235.33,45170422
aapl,3/5/25,235.42,236.55,229.23,235.74,47227641
aapl,3/4/25,237.71,240.07,234.68,235.93,53798059
aapl,3/3/25,241.79,244.03,236.11,238.03,47183992
aapl,2/28/25,236.95,242.09,230.2,241.84,56833359
aapl,2/27/25,239.41,242.46,237.06,237.3,41153641
aapl,2/26/25,244.33,244.98,239.13,240.36,44433559
aapl,2/25/25,248,250,244.91,247.04,48013273
aapl,2/24/25,244.93,248.86,244.42,247.1,51326398
aapl,2/21/25,245.95,248.69,245.22,245.55,53197434
aapl,2/20/25,244.94,246.78,244.29,245.83,32316910
aapl,2/19/25,244.66,246.01,243.16,244.87,32204221
aapl,2/18/25,244.15,245.18,241.84,244.47,48822488
aapl,2/14/25,241.25,245.55,240.99,244.6,40896230
aapl,2/13/25,236.91,242.34,235.57,241.53,53614047
aapl,2/12/25,231.2,236.96,230.68,236.87,45243289
aapl,2/11/25,228.2,235.23,228.13,232.62,53718359
aapl,2/10/25,229.57,230.59,227.2,227.65,33115648
aapl,2/7/25,232.6,234,227.26,227.63,39707219
aapl,2/6/25,231.29,233.8,230.43,233.22,29925350
aapl,2/5/25,228.53,232.67,228.27,232.47,39664992
aapl,2/4/25,227.25,233.13,226.65,232.8,45067301
aapl,2/3/25,229.99,231.83,225.7,228.01,73063297
aapl,1/31/25,247.19,247.19,233.44,236,101075102
aapl,1/30/25,238.67,240.79,237.21,237.59,55658281
aapl,1/29/25,234.12,239.86,234.01,239.36,45486102
aapl,1/28/25,230.85,240.19,230.81,238.26,75707570
aapl,1/27/25,224.02,232.15,223.98,229.86,94863422
aapl,1/24/25,224.78,225.63,221.41,222.78,54697910
aapl,1/23/25,224.74,227.03,222.3,223.66,60234762
aapl,1/22/25,219.79,224.12,219.79,223.83,64126500
aapl,1/21/25,224,224.42,219.38,222.64,98070430
aapl,1/17/25,232.12,232.29,228.48,229.98,68488305
aapl,1/16/25,237.35,238.01,228.03,228.26,71759047
aapl,1/15/25,234.64,238.96,234.43,237.87,39831969
aapl,1/14/25,234.75,236.12,232.47,233.28,39435289
aapl,1/13/25,233.53,234.67,229.72,234.4,49630727
aapl,1/10/25,240.01,240.16,233,236.85,61710859
aapl,1/8/25,241.92,243.71,240.05,242.7,37628941
aapl,1/7/25,242.98,245.55,241.35,242.21,40855961
aapl,1/6/25,244.31,247.33,243.2,245,45045566
aapl,1/3/25,243.36,244.18,241.89,243.36,40244113
aapl,1/2/25,248.93,249.1,241.82,243.85,55740727
